jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Proszowice,,1171.0,1194.0,1337.0,1545.0,1737.56,2103.89,2157.2,2176.39,2183.68,2470.02,2534.05,2623.62,2851.17,2963.19,3674.41,3601.65,4303.17
Radziemice,,1182.0,1205.0,1398.0,1641.0,1874.38,1988.5,2296.29,2559.75,2738.82,2677.66,3173.48,2998.17,2821.48,2747.41,3487.42,3916.54,4273.94
Powiat wielicki,,1368.0,1432.0,1474.0,1802.0,2158.07,2461.31,2660.17,2635.6,2888.64,3155.16,2809.78,3165.72,3390.15,3785.9,4114.5,4450.1,4966.01
Biskupice,,1230.0,1244.0,1400.0,1644.0,2028.23,2038.67,2392.83,2288.5,2353.89,2548.78,2594.5,2664.62,2809.63,3137.52,3428.51,3988.14,4760.79
Gdów,,1395.0,1304.0,1453.0,1735.0,1938.64,2073.13,2375.75,2513.27,2737.39,2693.6,2662.0,2847.04,3066.88,3171.46,3886.76,4283.9,5026.26
Kłaj,,1378.0,1517.0,1489.0,1759.0,1906.52,2008.49,2144.07,2227.39,2523.22,2395.69,2601.68,2862.93,3302.23,2944.67,3722.81,4027.9,4627.72
Niepołomice,,1705.0,1940.0,1869.0,2500.0,3317.42,4167.75,4168.22,3925.18,4337.01,4835.55,3615.57,3747.72,3916.16,4645.83,4771.32,5191.22,5751.02
Wieliczka,,1224.0,1252.0,1308.0,1538.0,1774.36,1973.28,2209.67,2225.62,2442.65,2785.1,2563.53,3143.35,3366.14,3848.92,4067.96,4306.88,4669.24
Powiat m.Kraków,,1916.0,2077.0,2387.0,2663.0,3075.27,3714.38,3953.74,4186.93,4470.74,4400.3,4539.28,4922.21,5328.16,5424.19,6099.34,6469.58,6896.89
Kraków,,1916.0,2077.0,2387.0,2663.0,3075.27,3714.38,3953.74,4186.93,4470.74,4400.3,4539.28,4922.21,5328.16,5424.19,6099.34,6469.58,6896.89
Powiat gorlicki,,1401.0,1446.0,1588.0,1843.0,2099.08,2257.07,2502.88,2650.09,2932.46,3203.98,3139.66,3095.26,3261.0,3330.93,3888.3,4277.3,4659.33
Gorlice,,1455.0,1458.0,1646.0,1980.0,2152.76,2187.37,2323.05,2364.43,2526.79,3099.56,2680.5,2770.7,2801.99,2859.32,3452.87,3674.71,3939.17
Biecz,,1283.0,1224.0,1337.0,1484.0,1732.37,1848.34,2055.61,2183.29,3016.95,2969.78,2994.3,2788.56,2863.96,3225.65,3653.67,4150.91,4672.94
Bobowa,,1446.0,1443.0,1758.0,1778.0,2074.03,2377.99,2863.7,,,,,,,,,,
Bobowa,,,,,,,,,3255.0,3302.99,4214.5,3346.21,3522.47,3756.25,3785.02,4561.99,5053.98,5634.32
Gorlice,,1257.0,1355.0,1479.0,1846.0,2019.02,2252.63,2527.77,2488.88,2637.9,2920.41,2900.67,2961.52,3036.34,2932.85,3676.87,4134.53,4390.69
Lipinki,,1437.0,1389.0,1585.0,1891.0,2073.8,2104.23,2327.39,2547.12,2955.56,2733.77,2839.86,2949.26,3112.15,3299.18,3614.31,3905.24,4459.7
Łużna,,1324.0,1437.0,1522.0,1665.0,1995.27,2169.72,2479.98,2575.4,2668.34,2797.63,3064.85,2847.36,3420.34,3631.47,3834.53,4310.56,4537.08
Moszczenica,,1319.0,1454.0,1450.0,1542.0,1932.04,2091.93,2360.01,3005.81,3135.43,3350.85,3546.71,3346.41,3317.01,3252.08,3861.75,4493.4,4739.66
Ropa,,1362.0,1524.0,1599.0,1975.0,2086.29,2256.63,2695.35,2837.93,3585.33,3184.33,3621.23,3579.36,4053.76,3777.22,4324.27,4757.83,5248.39
Sękowa,,1524.0,1653.0,1693.0,1956.0,2108.92,2476.09,3227.33,3257.2,3189.48,3523.03,4501.45,3532.56,3998.03,4081.35,4419.8,4401.33,5218.92
Uście Gorlickie,,1838.0,2074.0,2131.0,2482.0,3378.59,3758.74,3541.9,4038.68,4165.95,4206.65,4511.15,4540.1,4799.14,4720.05,5450.67,5990.69,6243.54
Powiat limanowski,,1377.0,1531.0,1646.0,1891.0,2240.87,2342.52,2610.4,2812.24,3154.29,3270.92,3245.33,3229.22,3537.95,3579.86,4166.12,4521.24,4977.42
Limanowa,,1607.0,1772.0,1918.0,2290.0,2660.66,2699.5,2846.87,3166.96,3132.88,3083.75,3552.2,3564.38,4180.71,4189.02,4582.73,4639.45,6052.23
Mszana Dolna,,1280.0,1381.0,1574.0,1670.0,1781.07,2197.07,2399.29,3022.35,2670.96,3807.5,3040.08,3190.08,2981.11,3681.87,4154.33,4599.26,4183.55
Dobra,,1278.0,1466.0,1548.0,1674.0,2203.36,2331.02,2542.53,2947.89,2897.74,3067.15,2923.29,3151.38,4006.64,3741.06,4074.2,4429.25,5284.15
Jodłownik,,1363.0,1470.0,1644.0,1809.0,2056.12,2297.92,2696.8,2666.72,3704.01,3984.63,3930.58,3589.49,3845.33,4002.12,4503.92,4342.39,4757.3
