jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Radziejów,,1321.0,1410.0,1604.0,1877.0,2100.93,2350.97,2600.38,2974.58,3069.3,3088.84,3366.86,3324.33,3466.16,3404.25,4153.73,4257.15,4861.4
Bytoń,,1275.0,1287.0,1567.0,1839.0,2303.02,2204.61,2663.28,2619.45,2635.38,3274.55,2863.81,3136.28,3265.76,3153.74,4255.43,4392.06,5023.8
Dobre,,1315.0,1428.0,1697.0,1896.0,2217.88,2155.67,2441.07,2448.81,2486.74,2857.86,3175.45,3167.42,3362.69,3294.33,3754.05,3947.08,4576.09
Osięciny,,1277.0,1309.0,1524.0,1777.0,1929.86,2133.12,2433.89,2464.74,2537.27,2696.24,3117.24,2984.56,3094.25,3120.99,3804.1,4039.65,4293.91
Piotrków Kujawski,,1341.0,1432.0,1557.0,1881.0,2306.64,2480.02,2751.72,2912.07,2948.72,2965.21,3396.9,3302.75,3187.77,3305.4,4448.08,4535.09,4302.16
Radziejów,,1008.0,1023.0,1241.0,1428.0,1734.84,1910.21,2269.94,2191.33,2171.2,2263.87,2926.24,3508.17,3188.6,2810.54,4217.65,5587.73,4855.98
Topólka,,1359.0,1427.0,1698.0,2118.0,2398.23,2473.85,2845.73,2896.23,2934.18,3082.36,3301.51,3449.91,3723.08,3479.68,4332.34,4722.07,4954.62
Powiat włocławski,,1335.0,1435.0,1527.0,1921.0,2134.07,2244.09,2477.62,2588.75,2916.7,2939.69,3120.23,3153.79,3395.76,3621.58,4074.93,4443.28,4745.6
Kowal,,1615.0,1735.0,1754.0,2216.0,2358.65,2480.24,2696.14,2839.88,3208.97,4205.97,3654.55,3568.69,3840.87,4052.35,4124.35,4549.92,4704.0
Baruchowo,,1427.0,1434.0,1578.0,2166.0,2174.13,2269.67,2970.83,3111.66,3309.13,2988.91,3685.4,3734.63,4209.08,4750.75,4480.14,5229.07,5329.4
Boniewo,,1295.0,1321.0,1710.0,2314.0,2376.82,2168.12,2624.16,2700.82,3076.3,3320.54,3444.99,3557.22,4323.56,4051.78,4487.45,5495.91,5396.37
Brześć Kujawski,,1319.0,1440.0,1537.0,1991.0,2144.89,2401.29,2371.52,2783.95,3213.64,3046.26,3347.59,3068.65,3349.12,3974.76,4289.99,4436.21,4884.61
Choceń,,1242.0,1334.0,1311.0,1633.0,2103.02,2282.27,2250.62,2449.31,2932.99,2991.95,3067.63,3415.11,3217.21,3862.43,3975.08,4254.8,4698.43
Chodecz,,1343.0,1528.0,1479.0,2098.0,2204.06,2149.07,2446.83,2587.71,2941.03,3090.7,2763.71,3104.25,3242.0,3257.26,4086.67,4540.91,5632.36
Fabianki,,1289.0,1500.0,1420.0,1798.0,1831.12,2044.13,2250.7,2258.85,2304.94,2428.25,2571.09,2589.68,2836.04,3165.22,3933.47,4107.63,4183.67
Izbica Kujawska,,1178.0,1286.0,1380.0,1793.0,2136.26,2116.36,2364.7,2576.75,2622.15,2513.01,2986.36,2818.75,3159.88,3407.51,3844.82,4135.68,4301.4
Kowal,,1153.0,1198.0,1537.0,1418.0,1768.97,1989.62,2233.13,2373.81,2903.34,2694.64,3512.61,3297.73,3445.87,3545.64,3550.43,4258.77,4506.27
Lubanie,,1992.0,2049.0,1927.0,2493.0,2628.04,2603.04,2720.51,2838.96,3291.21,2928.8,3302.63,3174.07,3447.41,3665.21,4333.45,4275.18,4876.08
Lubień Kujawski,,1266.0,1248.0,1468.0,1989.0,2430.49,2326.93,2508.02,2432.3,3240.27,2873.16,3252.68,3254.04,3293.07,3433.07,4284.88,4945.3,4919.82
Lubraniec,,1293.0,1415.0,1540.0,1619.0,1911.08,2091.52,2537.24,2423.1,2674.07,2848.08,2909.1,3359.17,3573.41,3401.96,3863.54,4210.02,4576.86
Włocławek,,1338.0,1434.0,1654.0,2091.0,2088.18,2395.32,2810.32,2800.2,2856.07,3235.37,3107.51,2992.58,3556.69,3482.03,4041.94,4443.68,4613.32
Powiat m.Włocławek,,2172.0,1994.0,2326.0,2731.0,2874.37,3202.25,3578.49,3532.65,3930.22,3889.56,4800.68,5212.61,5050.36,4940.03,5327.03,5531.49,5905.96
Włocławek,,2172.0,1994.0,2326.0,2731.0,2874.37,3202.25,3578.49,3532.65,3930.22,3889.56,4800.68,5212.61,5050.36,4940.03,5327.03,5531.49,5905.96
Powiat inowrocławski,,1311.0,1394.0,1509.0,1676.0,1868.18,2092.25,2310.3,2405.91,2731.86,2890.78,2939.8,2919.01,3149.07,3422.88,3815.19,4095.19,4466.4
Inowrocław,,1171.0,1281.0,1401.0,1571.0,1762.38,2048.68,2219.6,2297.77,2708.53,2983.64,2970.78,2832.2,3079.33,3603.27,3792.58,4121.97,4650.06
Dąbrowa Biskupia,,1552.0,1451.0,1605.0,1829.0,2000.94,2224.87,2582.03,2661.61,3044.44,3366.49,3062.61,3129.73,3427.83,3545.8,4240.47,4455.96,5261.93
Gniewkowo,,1241.0,1254.0,1455.0,1589.0,1734.27,1962.81,2250.97,2311.91,2386.31,2750.68,2656.92,2802.24,3202.43,3255.57,3730.27,3880.02,4225.59
Inowrocław,,1610.0,1775.0,1959.0,2011.0,2215.58,2555.64,2777.04,2779.73,2794.28,2971.57,3225.79,3185.69,3330.37,3603.81,4406.68,4653.33,4528.72
Janikowo,,1699.0,1816.0,1830.0,1991.0,2187.41,2328.81,2557.5,2607.02,3331.95,2889.18,3052.79,3187.78,3396.6,3185.63,3755.21,3901.69,4307.4
Kruszwica,,1410.0,1404.0,1493.0,1631.0,1888.77,2026.52,2105.71,2411.47,2636.2,2815.16,2647.99,2968.35,3091.49,3223.84,3731.3,3863.36,4203.31
Pakość,,1219.0,1272.0,1362.0,1541.0,1673.94,1838.4,2424.17,2329.23,2745.56,2418.53,3259.82,2810.51,3218.35,3236.33,3563.32,3936.82,4015.38
Rojewo,,1450.0,1515.0,1622.0,1955.0,2119.95,2110.08,2439.28,2625.34,3100.81,2988.02,3176.48,3069.68,3360.81,3345.4,4003.02,4412.4,4502.28
Złotniki Kujawskie,,1353.0,1505.0,1582.0,1851.0,2046.29,2086.01,2328.16,2521.27,2350.38,2615.09,2718.94,2902.76,2821.29,2946.64,3588.16,4090.16,4102.87
Powiat mogileński,,1520.0,1433.0,1666.0,1721.0,1920.85,2095.35,2371.21,2454.9,2631.66,2875.06,3029.64,2930.99,3407.07,3292.72,3795.27,4083.93,4321.96
Dąbrowa,,1736.0,1547.0,1802.0,1902.0,1955.28,2103.03,2592.32,2502.46,2576.89,2859.85,2858.4,3162.8,3468.18,3473.94,3966.15,4616.63,4927.54
Jeziora Wielkie,,1429.0,1536.0,1756.0,1772.0,2018.98,2112.32,2300.5,2519.59,2493.76,2818.79,2876.04,2935.36,3178.72,3060.41,3701.87,3937.77,4162.78
Mogilno,,1485.0,1432.0,1620.0,1719.0,1873.55,2051.58,2288.21,2393.9,2624.84,2940.88,3061.6,2724.28,3281.24,3083.22,3682.34,3922.82,4155.99
Strzelno,,1545.0,1347.0,1672.0,1634.0,1962.93,2173.76,2484.04,2534.49,2725.34,2767.8,3095.08,3269.11,3741.09,3760.0,4005.94,4277.17,4502.42
Powiat nakielski,,1262.0,1311.0,1462.0,1672.0,1901.2,2075.2,2370.09,2515.95,2548.11,2735.41,3015.35,3040.39,3286.38,3660.27,3994.57,4471.2,4637.62
Kcynia,,1445.0,1534.0,1696.0,2001.0,2223.8,2345.35,2788.23,2940.14,3131.23,3218.57,3476.13,3682.6,3626.4,3935.72,4399.14,4929.65,4855.67
Mrocza,,1475.0,1558.0,1601.0,2101.0,2347.85,2401.76,2775.63,3022.19,2947.14,3139.09,3826.78,3589.44,3636.36,4312.64,4521.82,4974.3,5576.94
Nakło nad Notecią,,1227.0,1212.0,1393.0,1508.0,1763.66,1962.18,2177.81,2269.16,2379.29,2704.71,2979.68,2935.6,3376.61,3905.23,3875.6,4287.42,4527.01
Sadki,,1236.0,1314.0,1366.0,1505.0,1726.36,1904.21,2164.42,2460.83,2356.2,2453.02,2532.55,2768.01,2974.69,3170.59,3813.28,4376.84,4238.87
Szubin,,1120.0,1212.0,1391.0,1583.0,1775.6,1992.61,2289.99,2419.61,2344.67,2429.5,2633.35,2688.25,2937.08,3078.21,3782.07,4297.61,4426.82
Powiat żniński,,1390.0,1327.0,1537.0,1740.0,2011.81,2123.95,2519.27,2628.82,2747.74,2822.09,2993.44,3108.17,3233.56,3383.15,4014.61,4458.66,4626.94
Barcin,,1664.0,1505.0,1893.0,2030.0,2263.58,2496.13,3098.27,2835.23,3476.54,3331.23,3424.64,3619.65,3839.57,3922.41,4478.26,4785.12,5118.52
Gąsawa,,1655.0,1454.0,1734.0,2125.0,2071.48,2302.74,2526.99,3486.63,2958.53,2732.03,2973.02,3246.24,3221.28,3376.03,4165.35,4544.78,4603.22
Janowiec Wielkopolski,,1424.0,1275.0,1352.0,1621.0,1886.79,1883.64,2193.51,2315.88,2339.24,2406.34,2837.98,2958.13,2989.95,3184.6,3767.1,4269.88,4478.15
Łabiszyn,,1230.0,1281.0,1455.0,1719.0,1984.72,2170.47,2444.29,2513.35,2580.02,2779.77,2904.41,2897.21,3044.81,3356.86,4033.37,4562.11,4436.79
Rogowo,,1482.0,1407.0,1576.0,1803.0,2062.93,2164.82,2649.85,2755.74,2681.02,3025.69,3097.72,3304.22,3412.41,3528.88,4154.48,4797.75,5213.01
Żnin,,1184.0,1204.0,1366.0,1516.0,1888.58,1919.73,2281.49,2446.29,2496.06,2647.61,2799.54,2851.87,2983.7,3100.48,3744.86,4172.75,4301.32
Powiat sępoleński,,1307.0,1365.0,1538.0,1740.0,2024.83,2140.49,2403.41,2534.55,2764.91,2763.14,3037.04,3026.6,3150.38,3391.15,3813.95,4664.32,4679.51
Kamień Krajeński,,1361.0,1434.0,1601.0,1903.0,2156.98,2370.64,2732.56,2637.95,2767.1,2927.95,3038.15,3128.84,3340.03,3264.49,4038.94,4249.87,4772.26
Sępólno Krajeńskie,,1189.0,1206.0,1401.0,1593.0,1960.96,2072.62,2256.58,2475.32,2948.62,2817.95,3168.42,2895.22,2998.65,3572.53,3732.52,4550.32,4606.06
Sośno,,1583.0,1670.0,1844.0,2213.0,2144.7,2312.39,2811.54,2662.06,2610.5,2757.02,2940.22,3153.24,3314.98,3441.87,4097.7,7259.06,5452.04
Więcbork,,1313.0,1401.0,1551.0,1647.0,1986.43,2034.89,2249.38,2502.92,2601.87,2612.7,2915.48,3081.57,3169.76,3220.43,3686.0,4038.76,4426.67
Powiat świecki,,1506.0,1499.0,1724.0,1967.0,2135.4,2413.73,2558.37,2551.4,2783.0,2936.41,3098.0,3156.34,3565.8,3713.6,4319.04,4624.2,4935.62
Bukowiec,,1602.0,1473.0,1631.0,1906.0,2005.22,2202.07,2621.85,2616.44,3306.46,3336.17,3308.76,3250.01,4232.78,4111.87,4340.46,5020.02,5563.8
Dragacz,,1348.0,1379.0,1538.0,1905.0,1900.29,2730.91,2449.97,2467.62,2745.84,2502.89,2655.8,2820.22,3250.65,3515.46,4051.65,4319.13,4484.13
Drzycim,,1419.0,1348.0,1550.0,1780.0,2060.47,2148.22,2437.42,2439.93,2700.34,3159.25,2908.32,2785.28,3126.8,3336.03,4037.7,4341.93,4574.29
Jeżewo,,1463.0,1380.0,1652.0,1834.0,2025.84,2014.79,2216.1,2168.7,2309.84,2560.61,2588.85,2934.66,2894.27,3063.03,3677.95,4017.45,4307.89
Lniano,,1541.0,1702.0,1701.0,2166.0,2234.28,2332.79,2546.5,2557.43,2689.95,3126.39,3176.73,3255.65,4010.62,3867.56,4374.94,5012.42,5317.07
Nowe,,1266.0,1326.0,1752.0,1800.0,1806.24,2007.76,2140.14,2061.77,2242.66,2465.76,2535.56,2963.5,3077.59,2875.03,3420.78,3856.41,4269.0
Osie,,1660.0,1678.0,1951.0,2370.0,2298.66,2574.87,2842.42,2771.65,2967.49,3278.69,3807.15,3394.45,3722.25,4025.99,4411.75,4803.33,6140.77
Pruszcz,,1397.0,1477.0,1540.0,1803.0,2125.27,2094.03,2437.65,2528.8,2523.68,2432.4,2794.61,2822.6,2970.97,3306.48,3983.79,4499.62,4533.2
Świecie,,1656.0,1608.0,1845.0,2132.0,2353.89,2791.49,2822.38,2736.96,3069.51,3189.02,3342.58,3291.67,4019.07,4228.43,4957.66,5002.14,5238.81
Świekatowo,,1639.0,1660.0,1948.0,1901.0,2229.43,2432.35,2841.7,3139.58,3306.7,3513.09,3538.41,4028.92,3644.63,3804.01,4237.6,4894.65,4802.04
Warlubie,,1307.0,1324.0,1533.0,1640.0,1882.49,2033.83,2266.15,2525.5,2449.42,2853.79,3398.16,3370.95,3377.86,3548.33,4139.36,4501.41,4867.95
Powiat tucholski,,1395.0,1538.0,1609.0,1871.0,2074.72,2343.32,2602.91,2768.37,3020.53,3144.16,3222.09,3178.36,3543.1,3648.39,4088.71,4714.09,5223.74
Cekcyn,,1477.0,1777.0,1944.0,2117.0,2431.53,2449.32,2663.73,2812.51,3306.69,3438.54,3643.96,3547.47,3910.02,4063.26,4448.68,4581.1,5873.41
Gostycyn,,1603.0,1748.0,1805.0,1957.0,2203.19,2536.5,3048.0,2685.84,3123.66,3212.62,3249.96,3091.91,3328.62,4003.75,4303.2,6284.83,5969.89
Kęsowo,,1586.0,2218.0,1706.0,1999.0,2215.17,2927.63,3365.31,3765.02,3859.64,4193.62,4943.59,4620.08,4763.24,4497.75,4310.4,5439.74,4741.04
Lubiewo,,1459.0,1557.0,1519.0,1950.0,2109.34,2618.3,2493.39,2596.46,2697.82,3483.39,3211.07,3441.61,4784.09,4679.97,4674.28,4819.56,6312.81
Śliwice,,1358.0,1424.0,1697.0,1925.0,2083.86,2246.72,2632.83,2771.2,2969.25,3163.59,3342.29,3268.14,3797.64,3635.81,4224.98,4840.16,5459.32
Tuchola,,1264.0,1280.0,1430.0,1704.0,1884.12,2079.48,2323.53,2605.86,2823.24,2699.22,2667.64,2659.9,2783.97,2939.65,3661.1,4130.56,4538.97
POMORSKIE,,1694.0,1742.0,2038.0,2279.0,2622.51,2999.41,3135.45,3130.18,3533.93,3670.93,4141.44,4129.15,4280.69,4409.46,4925.51,5325.11,5821.58
Powiat gdański,,1587.0,1740.0,1899.0,2212.0,2495.6,3040.59,2922.0,3161.82,3137.97,3465.46,3306.42,3715.5,3700.19,3983.01,4645.2,5182.46,5601.59
Pruszcz Gdański,,1630.0,1804.0,1935.0,2551.0,2521.35,3522.81,3254.2,3436.34,3322.96,3882.93,3261.43,3575.37,3762.72,4051.22,4789.15,5076.73,5540.85
Cedry Wielkie,,1601.0,1532.0,1719.0,1916.0,2407.31,3015.94,2683.1,2666.19,3636.44,3518.78,3748.08,3726.58,4004.59,4877.65,5361.9,6127.13,6476.4
Kolbudy,,1751.0,2044.0,1990.0,2471.0,2520.79,3057.06,3121.35,3314.33,3163.58,3355.25,3460.82,4249.77,4223.28,4582.21,5383.47,6510.23,6730.58
Pruszcz Gdański,,1573.0,1742.0,2036.0,2056.0,2855.67,3078.02,2945.22,3415.82,3112.65,3365.48,3181.69,3998.25,3525.1,3668.36,4381.23,4933.25,5170.05
Przywidz,,1487.0,1445.0,1649.0,1875.0,2052.62,2408.21,2960.15,2892.45,2902.08,2915.6,3667.62,3577.75,3687.32,4035.69,4663.49,5126.12,5266.94
Pszczółki,,1402.0,1628.0,1671.0,1973.0,2303.39,2566.49,2383.6,2944.48,2812.22,3198.7,2917.63,3061.98,3260.46,3439.02,4013.37,4337.56,4820.09
Suchy Dąb,,1720.0,1646.0,2119.0,2079.0,2306.06,2461.75,2494.58,2780.07,2786.36,4173.24,3747.84,3724.52,3856.33,3534.03,4106.13,4963.67,7542.03
Trąbki Wielkie,,1458.0,1654.0,1811.0,1942.0,2288.43,2701.03,2505.29,2547.9,2873.39,2915.44,3147.69,3302.26,3309.7,3730.52,4104.72,4355.73,4739.95
Powiat kartuski,,1439.0,1513.0,1715.0,1912.0,2247.63,2495.57,2733.63,2936.41,3170.97,3216.05,3330.3,3483.36,3660.44,3887.92,4874.07,5597.68,5742.19
Chmielno,,1591.0,1596.0,1851.0,2046.0,2635.43,2813.95,3320.0,3287.53,3783.2,3976.69,3455.28,3594.4,4066.63,3937.29,5063.29,6014.64,5863.34
Kartuzy,,1332.0,1366.0,1566.0,1668.0,1925.35,2137.22,2345.1,2627.01,3161.93,2863.43,2808.74,3163.1,3312.32,3434.67,4543.93,5313.1,5249.29
Przodkowo,,1520.0,1560.0,1909.0,2124.0,2494.45,2881.7,3026.49,3425.9,3205.65,3379.93,3139.98,3770.63,3736.48,4479.01,4965.99,6014.7,6401.51
Sierakowice,,1505.0,1609.0,1837.0,2151.0,2729.39,2771.91,2914.23,3298.69,3631.69,3784.09,3927.36,3914.45,4038.9,4176.9,5370.79,6122.67,6477.66
Somonino,,1478.0,1560.0,1868.0,2118.0,2390.05,2670.99,3171.81,3283.47,3368.91,3123.13,3503.97,3608.09,3678.38,3988.09,4918.07,5385.72,5516.53
Stężyca,,1598.0,1753.0,1929.0,2248.0,2437.53,2599.58,3076.12,3248.27,3501.96,3744.91,4034.48,3991.64,4255.28,4584.31,6057.1,7192.54,6878.95
Sulęczyno,,1523.0,1508.0,1918.0,2097.0,2486.42,2856.85,3053.32,3256.73,3385.78,3829.52,4062.31,3766.25,4368.07,4539.7,5318.19,6745.49,6314.66
Żukowo,,1378.0,1498.0,1559.0,1735.0,1998.77,2399.82,2528.65,2579.4,2533.59,2792.81,3152.75,3221.45,3385.52,3669.01,4428.03,4831.84,5280.43
Powiat nowodworski,,1663.0,2134.0,1886.0,1971.0,2204.74,2484.25,2753.58,2706.94,3594.64,4371.84,4923.87,4310.54,4107.07,3621.73,4635.56,4844.65,5458.16
Krynica Morska,,4778.0,15439.0,5076.0,5286.0,4960.42,6732.32,8380.85,6148.64,14619.73,24420.69,42512.93,20529.28,23897.38,9520.8,17848.57,14110.64,13582.21
Nowy Dwór Gdański,,1480.0,1694.0,1752.0,1751.0,1982.79,2151.11,2365.4,2614.29,2870.04,2870.11,2781.27,2884.12,2943.87,3177.09,3971.56,4190.13,4623.31
Ostaszewo,,1568.0,1525.0,1697.0,1893.0,2126.12,2084.82,2375.39,2389.44,2437.66,2490.93,2742.79,3046.75,2950.4,3280.35,4044.47,4664.84,4272.94
Stegna,,1621.0,1513.0,1760.0,1907.0,2112.63,2307.35,2532.86,2508.94,3196.72,3404.71,3554.2,3757.7,4034.37,3742.23,4415.2,5117.34,6181.98
Sztutowo,,1639.0,1691.0,1876.0,2085.0,2580.21,3350.99,3481.51,2702.17,5249.37,8753.76,7344.77,8048.83,3857.42,3654.29,4283.61,4123.4,5748.0
Powiat pucki,,1825.0,1738.0,1933.0,2256.0,2423.82,2882.7,3558.22,2965.64,3281.88,3958.97,3542.84,3836.5,4019.39,4586.45,4994.35,5371.6,5784.49
Hel,,2076.0,2015.0,2257.0,3523.0,2903.58,4644.01,4058.97,2787.62,4366.44,4871.14,4261.93,5338.39,4070.93,4292.03,4633.31,5209.06,5688.87
Jastarnia,,3122.0,2353.0,2481.0,2704.0,3540.02,5191.69,13017.49,3647.08,4783.75,6431.87,4708.61,5029.22,5919.89,6079.96,6572.31,,
Jastarnia,,,,,,,,,,,,,,,,,7000.02,7410.34
Puck,,1455.0,1271.0,1553.0,1774.0,2088.16,2144.78,2305.21,2499.48,2463.18,3698.24,2608.13,2891.82,3534.28,3737.17,4469.86,4912.8,5450.38
Władysławowo,,1775.0,1806.0,2069.0,2336.0,2511.52,2939.25,3100.45,3077.48,3277.79,3402.18,3582.08,3679.38,4142.28,,,,
Władysławowo,,,,,,,,,,,,,,,4607.64,5248.82,5864.56,6388.58
Kosakowo,,2246.0,2874.0,2633.0,2820.0,3139.83,3844.96,4216.86,3735.44,3962.62,5597.38,4049.11,4434.71,4589.11,4359.1,5332.19,5622.78,5636.01
Krokowa,,2153.0,1739.0,1896.0,2608.0,2270.07,2481.34,2889.29,3091.15,3305.32,4343.2,4189.52,4498.16,4547.41,7606.54,5438.5,5618.59,6483.29
Puck,,1459.0,1391.0,1644.0,1764.0,2052.77,2313.32,2784.24,2674.22,2954.41,3007.97,3156.1,3400.54,3363.94,3609.96,4529.3,4825.29,5144.97
Powiat wejherowski,,1431.0,1410.0,1603.0,1803.0,2115.09,2555.42,2569.25,2561.08,2780.24,2848.7,2941.78,3105.45,3324.1,3537.0,4243.49,4656.63,5288.3
Reda,,1329.0,1326.0,1385.0,1484.0,1666.38,1961.99,2056.92,2084.36,2234.75,2180.79,2227.37,2496.38,2657.11,3094.58,3461.24,3923.35,4848.23
Rumia,,1196.0,1166.0,1322.0,1624.0,1870.28,2530.97,2174.5,2191.61,2107.2,2235.39,2346.77,2559.06,2793.51,2927.32,3619.08,3902.34,4995.51
Wejherowo,,1356.0,1337.0,1547.0,1747.0,1971.23,2307.1,2409.66,2444.52,2437.88,2613.24,2944.08,3096.41,3166.73,3246.91,3950.8,4245.55,4871.33
Choczewo,,1615.0,1641.0,1945.0,2124.0,2326.96,2721.35,2875.06,3006.77,3223.17,3368.68,3260.0,3992.33,3786.57,4363.93,4700.74,5748.49,5368.22
Gniewino,,2736.0,2616.0,2739.0,3121.0,3591.83,4429.22,4318.82,4449.81,6085.01,5376.63,5233.68,5238.79,5852.75,5673.9,5997.65,7046.04,6410.4
Linia,,1766.0,1670.0,1870.0,2032.0,2648.3,2867.26,3300.4,3601.74,4065.01,4296.45,4444.23,4235.28,4492.12,4516.44,5629.15,6062.75,6322.54
Luzino,,1505.0,1592.0,1820.0,1983.0,2223.95,2418.69,2617.83,2757.77,3227.55,3511.97,3188.84,3383.31,3668.15,3876.75,5120.07,5425.29,6756.7
Łęczyce,,1513.0,1461.0,1711.0,1921.0,2625.91,2938.89,2992.85,2497.41,2780.17,3079.82,3296.17,3318.76,3424.79,3839.78,4728.13,5337.52,5256.41
Szemud,,1658.0,1560.0,1831.0,1925.0,2394.08,2593.76,2889.33,3019.39,3472.85,3493.6,3368.95,3628.79,3980.44,4579.07,5172.0,5793.08,5875.71
Wejherowo,,1413.0,1436.0,1677.0,1758.0,2151.06,2810.82,2923.79,2627.98,3228.27,2999.76,3025.35,3007.27,3463.94,3608.22,4422.56,4758.54,5182.88
Powiat bytowski,,1470.0,1460.0,1726.0,1909.0,2168.84,2326.15,2679.89,2680.58,2876.48,3340.58,3333.8,3409.59,3686.81,3728.25,4303.33,4884.37,5301.28
Borzytuchom,,1366.0,1540.0,1709.0,2078.0,2540.02,2790.34,3053.85,3529.65,3301.84,4361.05,3724.64,4038.92,4582.44,3989.42,4707.09,5097.26,5669.99
Bytów,,1342.0,1347.0,1537.0,1648.0,1970.87,2250.91,2484.22,2428.35,2519.14,2905.27,2912.46,2989.32,3099.87,3238.6,3831.74,4411.22,4950.18
Czarna Dąbrówka,,1650.0,1579.0,1771.0,2179.0,2271.92,2440.67,3143.42,2939.07,3304.77,4118.4,3639.58,3764.72,4073.82,4161.19,4614.57,5300.34,5897.44
Kołczygłowy,,1543.0,1564.0,1944.0,2240.0,2423.43,2554.49,3060.05,3134.08,3314.18,3685.51,4180.66,3700.83,4209.34,4428.63,4621.29,5551.22,5417.63
Lipnica,,1486.0,1524.0,1914.0,2504.0,2589.77,2466.4,3079.76,3148.14,3662.22,4397.27,3896.56,4352.94,5015.42,4587.27,4949.48,5303.42,5939.57
Miastko,,1474.0,1351.0,1767.0,1725.0,1997.53,2051.6,2272.14,2342.93,2438.63,2715.83,2729.51,2877.02,3227.07,3287.36,4055.66,4270.58,4905.55
Parchowo,,1661.0,1598.0,1784.0,2427.0,2308.2,2584.53,3187.89,2996.77,3466.48,3808.05,3933.52,4087.85,4361.09,4505.34,5086.83,6659.14,6037.53
Studzienice,,1760.0,1750.0,1966.0,2057.0,2654.94,2601.63,3403.15,3052.61,3634.87,4331.21,4205.92,3940.38,4076.09,4627.7,5146.6,5892.28,5747.47
Trzebielino,,1457.0,1700.0,1726.0,2018.0,2076.85,2442.99,2635.58,2786.58,3097.08,3503.69,4226.7,4608.88,4580.92,3924.63,4271.94,5008.1,5314.97
Tuchomie,,1533.0,1661.0,1875.0,2135.0,2559.01,2659.19,3025.78,3123.09,3494.33,4138.35,4439.3,3966.19,4290.67,4577.08,5072.76,6115.8,6170.48
Powiat lęborski,,1496.0,1654.0,1912.0,2009.0,2395.04,2658.51,2753.92,2654.86,2971.77,3349.12,3375.66,3494.48,4016.81,4311.89,4697.17,5141.27,5289.09
Lębork,,1359.0,1539.0,1729.0,1798.0,2063.32,2290.83,2396.81,2379.04,2590.82,2808.9,2960.01,3127.61,3925.27,4171.52,4174.36,4463.77,4729.59
Łeba,,2812.0,2883.0,3571.0,3599.0,6616.66,6429.8,4662.5,4316.35,5976.97,6311.06,6113.61,5117.82,5255.85,5675.66,7455.82,7842.26,8098.79
Cewice,,1662.0,1513.0,2016.0,2179.0,2275.41,2444.08,2852.04,2895.73,3186.52,3523.8,3964.63,4403.48,4588.61,4836.02,5348.99,5587.97,5661.81
Nowa Wieś Lęborska,,1353.0,1397.0,1695.0,1830.0,2004.44,2319.49,2610.83,2538.46,2751.93,3027.9,3103.27,3292.97,3473.86,3795.64,4587.68,5038.11,5103.4
Wicko,,1538.0,2269.0,2258.0,2416.0,2605.39,3391.03,3878.65,3208.85,3513.45,5161.81,3965.65,3959.25,4282.48,4780.43,5481.75,7122.74,6808.92
Powiat słupski,,1629.0,1773.0,1921.0,2222.0,2520.44,2771.0,3038.23,3194.41,3333.83,3525.13,3639.24,3857.26,4094.79,4518.48,4886.44,5279.51,5706.91
Ustka,,1306.0,1467.0,1788.0,2317.0,2184.69,2899.73,3071.18,2657.03,2788.73,3187.85,2886.51,3571.14,3636.49,4780.23,4410.72,5239.77,5920.22
Damnica,,1457.0,1643.0,1785.0,2181.0,2154.26,2440.45,2613.51,2725.32,2863.42,3282.69,3163.43,3663.4,3631.77,3877.38,4747.02,4812.93,4832.45
Dębnica Kaszubska,,1341.0,1441.0,1865.0,2152.0,2322.76,2356.35,2631.03,2937.06,3372.8,3344.85,3676.63,3724.13,4113.1,3922.75,4342.16,4957.52,5615.62
Główczyce,,1446.0,1614.0,1739.0,1976.0,2130.33,2489.68,2841.13,2790.96,3174.55,3063.88,3267.7,3493.84,3589.42,3707.75,4656.61,5045.76,5068.13
Kępice,,1493.0,1495.0,1606.0,1775.0,2075.5,2260.59,2365.79,2523.03,2776.76,3317.96,3336.16,3540.02,4021.09,3817.9,4550.03,5459.46,5716.18
Kobylnica,,1615.0,1738.0,2202.0,2166.0,2726.95,2826.11,3372.34,4141.01,4439.79,4472.33,4534.16,4348.82,4519.35,4557.24,5183.18,5920.44,6099.9
Potęgowo,,1562.0,1526.0,1650.0,1939.0,2691.1,2383.03,2737.74,2949.05,3072.19,3624.97,3776.24,3847.81,4007.08,4085.17,4465.65,4788.33,5322.21
Słupsk,,1796.0,2197.0,2207.0,2541.0,3317.06,3299.28,3614.18,4223.54,3631.39,3885.78,3962.15,4050.09,4689.22,5626.27,5618.28,5351.32,6040.42
Smołdzino,,1508.0,2633.0,1622.0,2055.0,2225.47,2663.21,2515.07,2933.75,2807.18,3293.66,3505.45,2992.02,4098.01,4308.91,4328.56,4698.44,4820.06
Ustka,,3152.0,2671.0,2589.0,2877.0,3150.84,3704.21,3969.26,3586.8,4082.88,3479.79,4399.77,4876.95,4307.14,5085.33,5823.11,5711.05,6132.82
Powiat m.Słupsk,,2337.0,2142.0,2442.0,2882.0,3333.01,3484.17,3577.02,3773.87,3916.26,4355.09,4747.01,4434.52,5197.14,5421.0,5437.0,5819.3,6053.55
Słupsk,,2337.0,2142.0,2442.0,2882.0,3333.01,3484.17,3577.02,3773.87,3916.26,4355.09,4747.01,4434.52,5197.14,5421.0,5437.0,5819.3,6053.55
