Świątniki Górne,10869104.0,11589084.0,12113508.0,12525676.0,14250978.0,15848894.56,18068510.93,21863984.89,21793222.23,23960064.38,25088645.81,29125331.23,30462496.98,32418598.29,38048248.62,43263510.3,46428986.07,57563698.67,,,8273098.0,8236181.0,9210486.0,9720055.0
Wielka Wieś,8571486.0,10018398.0,9822302.0,11860647.0,15817088.0,19484127.21,99459719.45,28641498.45,28170479.13,33583714.93,33875828.4,30883882.81,34629211.49,39304628.75,55372705.51,54407283.79,58030865.13,69375865.03,2362777.0,4903299.0,5857789.0,7518645.0,7814150.0,8731629.0
Zabierzów,28332315.0,30373743.0,27614162.0,31374115.0,33433124.0,42738368.33,45379722.16,55853516.73,59807227.5,68625686.38,70565342.75,67156593.76,82181069.04,81310337.53,99351339.61,113281890.73,128306016.45,128394844.96,10447854.0,13215318.0,18859098.0,20507589.0,22366574.0,24268807.0
Zielonki,16232259.0,16600480.0,25398693.0,22322639.0,25174229.0,37210807.61,41731149.69,43974680.33,41069203.53,55045254.34,50038356.75,50475762.42,61575085.94,64719833.34,76537129.56,87878975.03,97774323.57,114135124.64,7033227.0,9531250.0,11836038.0,13586678.0,17949952.0,16492332.0
Powiat miechowski,54838565.0,60402426.0,64017480.0,67933717.0,84229985.0,94473930.15,95467886.7,105936969.38,113877556.99,119850297.58,134684776.81,139331845.22,139385459.92,146303426.43,152088165.17,171421459.11,186529006.29,202494281.5,21191320.0,36166321.0,44366525.0,48224238.0,48290266.0,55604364.0
Charsznica,9047037.0,8855304.0,10200001.0,10300466.0,15219307.0,14806882.82,14514871.53,16235292.17,15934255.14,17437084.9,19533555.6,21962896.54,22932081.42,22709137.27,22008419.08,24879100.3,26944793.06,29583601.88,2539352.0,4855297.0,6146401.0,7601636.0,7701047.0,8695358.0
Gołcza,7087101.0,7387755.0,8279148.0,8819762.0,9488918.0,11600394.77,13523537.78,12859188.58,15230884.27,17001262.43,16362255.86,17636937.34,19965644.91,21697537.85,21407779.37,21129626.7,25232345.73,26816970.84,2891988.0,5288882.0,6236619.0,7296099.0,6385621.0,6622101.0
Kozłów,4859259.0,5420983.0,5816699.0,6325088.0,6923098.0,8153386.81,8433173.37,9672382.47,10969231.01,11386237.92,13281017.48,12155003.8,10913966.98,13459708.24,12583682.83,15341721.33,17738192.94,18856078.95,1329151.0,2563942.0,3376835.0,3709776.0,4276445.0,4718925.0
Książ Wielki,6990020.0,7630341.0,8083915.0,7985565.0,8756555.0,10138075.3,10827796.92,12647197.28,14346002.43,16734241.72,17119190.47,17236359.28,17244736.9,16249969.6,18608389.44,20486795.51,20562231.86,23983572.35,3137688.0,6119199.0,6651352.0,6045847.0,6043806.0,8314050.0
Miechów,20553620.0,23365115.0,23444091.0,25434102.0,33847973.0,37082215.19,35702786.53,39630051.95,42556455.11,41490871.99,51544102.16,50552818.03,50836805.16,51700047.26,58573894.86,67693105.13,72536493.71,74499318.75,7573229.0,12751961.0,16139625.0,17028521.0,18331111.0,21003642.0
Racławice,2804836.0,3469507.0,3917777.0,4163521.0,4294459.0,5565298.01,5802472.5,6884827.85,6514629.99,7196214.39,7890850.03,10062069.31,8231252.07,10886558.33,9443235.7,9788044.49,10730675.41,14059744.63,864484.0,1520482.0,2241633.0,2504963.0,2219492.0,2778344.0
Słaboszów,3496692.0,4273421.0,4275849.0,4905213.0,5699675.0,7127677.25,6663248.07,8008029.08,8326099.04,8604384.23,8953805.21,9725760.92,9260972.48,9600467.88,9462763.89,12103065.65,12784273.58,14694994.1,2855428.0,3066558.0,3574060.0,4037396.0,3332744.0,3471944.0
Powiat myślenicki,134671207.0,156529594.0,157899803.0,176630160.0,203592334.0,221154762.07,265935185.11,286585991.91,295249069.69,345804585.65,421106545.56,412106704.45,390962612.43,452986496.38,422996259.11,514687846.39,544452120.8,575862046.78,52941658.0,71455506.0,90935331.0,104894484.0,113813755.0,120964352.0
Dobczyce,16998240.0,17692867.0,21457831.0,25504026.0,32636777.0,28254412.28,34487339.53,36942034.92,42946525.75,58650019.12,63641797.12,56476795.68,54829451.43,53102741.06,68576624.57,65436217.84,70836740.76,82008672.89,6705291.0,10428220.0,11719696.0,14024480.0,13425368.0,15828210.0
Lubień,11070554.0,11248025.0,11810813.0,13309115.0,14170183.0,16267971.89,18704978.35,20186758.05,23573848.07,25132672.02,27026542.03,26294997.53,26738559.03,28023083.42,29910856.38,37501767.43,41261496.22,43416533.1,3492255.0,4998206.0,6180426.0,7485685.0,8012155.0,8822455.0
Myślenice,44410192.0,55592328.0,50584144.0,59672141.0,63126188.0,72996699.06,100761425.56,101162816.0,91201234.29,114177262.51,163704722.54,149702350.28,134702343.17,183132515.48,131745073.15,186848358.02,188765890.1,191419592.57,18269004.0,22773651.0,29094082.0,35649276.0,39983961.0,38806595.0
Pcim,11045589.0,14115536.0,13562447.0,14840311.0,16993437.0,19789594.52,21225919.63,23155594.22,26173002.32,29171140.17,32915853.0,31575347.05,31210173.28,33512462.28,34427872.5,41155005.07,45499575.34,49462695.3,4606716.0,5869016.0,7760080.0,8339786.0,10009610.0,10945569.0
Raciechowice,8702741.0,9809677.0,10376411.0,9918325.0,11605383.0,13397734.84,15514597.51,18191477.02,18671729.37,21306091.36,23362468.76,25120769.2,28711737.74,25919339.05,28505524.08,30823203.85,34538529.91,34075485.56,3354006.0,5466046.0,6996330.0,8070630.0,7089014.0,8735547.0
Siepraw,8564082.0,9693249.0,11166380.0,12077053.0,13701480.0,15400010.29,16178876.84,20513391.78,19322289.98,21464215.86,24263257.95,31218429.4,24461904.0,26069117.42,34216820.16,35105766.62,37171527.27,41063001.91,4276363.0,5093849.0,7412546.0,6827475.0,7261607.0,7877826.0
