jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1998,1999,2000,2019
Powiat kłobucki,6183.0,5781.0,5618.0,5366.0,5078.0,4106.0,3278.0,2382.0,3324.0,3899.0,4268.0,4679.0,4943.0,4183.0,3751.0,3001.0,2432.0,2448.0,3924.0,4962.0,5568.0,2131.0
Powiat myszkowski,6308.0,6271.0,6541.0,6171.0,5351.0,4869.0,4011.0,3764.0,4446.0,4385.0,4760.0,5005.0,5134.0,4071.0,3305.0,2698.0,1988.0,1589.0,2285.0,4201.0,4824.0,1428.0
Powiat m.Częstochowa,17600.0,18428.0,18410.0,18257.0,17142.0,15121.0,10920.0,8682.0,11383.0,13220.0,13909.0,15455.0,15492.0,12232.0,9078.0,6766.0,4967.0,4060.0,,,14959.0,3228.0
Powiat gliwicki,6060.0,6170.0,6216.0,5905.0,5710.0,4278.0,2791.0,2153.0,3099.0,3435.0,3401.0,3817.0,3945.0,3443.0,3100.0,2522.0,2133.0,1818.0,7839.0,11722.0,5188.0,1355.0
Powiat m.Gliwice,12499.0,13301.0,13049.0,12611.0,11506.0,8685.0,5933.0,4249.0,6310.0,6559.0,6407.0,7293.0,7593.0,6702.0,5812.0,4520.0,3814.0,3371.0,,,10637.0,2454.0
Powiat m.Zabrze,15341.0,15264.0,15271.0,15148.0,13375.0,11739.0,7897.0,5500.0,7206.0,7722.0,7751.0,8321.0,8522.0,7399.0,5910.0,4304.0,3651.0,3110.0,7977.0,10142.0,13164.0,2567.0
Powiat m.Chorzów,9899.0,10782.0,11141.0,10620.0,9899.0,7946.0,5190.0,3322.0,4627.0,4676.0,4459.0,4754.0,4955.0,4135.0,3665.0,3060.0,2444.0,1878.0,7372.0,10196.0,8161.0,1377.0
Powiat m.Katowice,14748.0,16970.0,16735.0,15258.0,14146.0,10810.0,6826.0,3831.0,6618.0,7681.0,8786.0,10834.0,11332.0,9878.0,8093.0,5970.0,4737.0,3579.0,5310.0,8181.0,11037.0,2233.0
Powiat m.Mysłowice,5004.0,5376.0,5571.0,5125.0,4518.0,3615.0,2700.0,2103.0,2489.0,2659.0,2449.0,2828.0,2807.0,2571.0,2186.0,1673.0,1593.0,1400.0,2568.0,3321.0,4117.0,1230.0
Powiat m.Ruda Śląska,8758.0,9346.0,8205.0,7469.0,6611.0,5115.0,3196.0,2366.0,3441.0,3923.0,3828.0,4242.0,4392.0,3634.0,3077.0,2335.0,1743.0,1275.0,5843.0,8787.0,7290.0,1151.0
Powiat m.Siemianowice Śląskie,6134.0,6600.0,7180.0,6195.0,5190.0,3961.0,2789.0,2120.0,2790.0,2582.0,3022.0,3017.0,3213.0,2844.0,2464.0,1675.0,1364.0,1145.0,,,4663.0,888.0
Powiat m.Świętochłowice,4268.0,4703.0,4622.0,4559.0,3847.0,3062.0,1743.0,1249.0,1995.0,2338.0,2262.0,2454.0,2494.0,1841.0,1487.0,1219.0,986.0,879.0,,,3589.0,666.0
Powiat raciborski,5073.0,5425.0,5184.0,4668.0,4342.0,3265.0,2163.0,1851.0,2554.0,2896.0,2794.0,3039.0,3126.0,2745.0,2489.0,2302.0,2027.0,1657.0,2160.0,3342.0,4076.0,1638.0
Powiat rybnicki,3284.0,3499.0,3733.0,3446.0,3121.0,2512.0,1499.0,1114.0,1738.0,1943.0,2053.0,2135.0,2288.0,1950.0,1743.0,1602.0,1230.0,1011.0,5033.0,7585.0,2739.0,851.0
Powiat wodzisławski,8361.0,8780.0,9457.0,8602.0,7882.0,6979.0,5263.0,3482.0,4969.0,4878.0,5376.0,5449.0,5658.0,5069.0,4588.0,3813.0,2870.0,2289.0,4235.0,6022.0,7655.0,2316.0
Powiat m.Jastrzębie-Zdrój,7250.0,7767.0,7854.0,7099.0,6296.0,5340.0,4143.0,2740.0,3312.0,3826.0,3726.0,3775.0,4170.0,3604.0,3151.0,2537.0,1851.0,1487.0,4498.0,5803.0,6104.0,1461.0
Powiat m.Rybnik,8123.0,8570.0,8460.0,8053.0,7248.0,5260.0,3624.0,2585.0,3882.0,4356.0,4409.0,4632.0,4792.0,4237.0,3844.0,3248.0,2418.0,1936.0,,,7459.0,1650.0
Powiat m.Żory,5046.0,4926.0,4776.0,4332.0,3659.0,2748.0,1861.0,1361.0,1895.0,2100.0,1797.0,2002.0,1956.0,1796.0,1545.0,1244.0,897.0,671.0,3090.0,4400.0,4839.0,695.0
Powiat będziński,11558.0,13173.0,13101.0,12558.0,11851.0,10090.0,7679.0,4935.0,6573.0,7064.0,7110.0,7993.0,8264.0,7133.0,6538.0,5614.0,4347.0,3713.0,5384.0,7632.0,9293.0,2439.0
Powiat zawierciański,12380.0,12671.0,12107.0,11742.0,10868.0,9859.0,8491.0,5909.0,7799.0,7460.0,7328.0,7887.0,7581.0,6118.0,5555.0,4566.0,3640.0,3031.0,7380.0,9674.0,10934.0,2358.0
Powiat m.Dąbrowa Górnicza,11114.0,12300.0,12687.0,12138.0,10846.0,9193.0,6906.0,4195.0,6131.0,6054.0,6299.0,7166.0,6925.0,5991.0,5104.0,4488.0,3385.0,2878.0,5892.0,7486.0,9077.0,2144.0
Powiat m.Jaworzno,7436.0,7884.0,7785.0,7228.0,5901.0,4770.0,3968.0,2694.0,3377.0,3240.0,3001.0,3449.0,3206.0,2737.0,2077.0,1779.0,1500.0,1315.0,2937.0,4323.0,5604.0,1213.0
Powiat m.Sosnowiec,19362.0,22079.0,20231.0,19692.0,17216.0,13167.0,9854.0,7400.0,10224.0,10588.0,10299.0,11555.0,10948.0,9313.0,8061.0,7070.0,5690.0,4611.0,9448.0,12699.0,14871.0,3718.0
