jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Powiat m.Koszalin,,,,,,,,,,,,,3864.0,3434.0,3063.0,2754.0,3081.0,2331.0,2140.0
Powiat choszczeński,,,,,,,,,,,,,1498.0,1295.0,1558.0,953.0,1099.0,2432.0,1107.0
Powiat drawski,,,,,,,,,,,,,1370.0,1690.0,1192.0,1010.0,920.0,1222.0,1124.0
Powiat myśliborski,,,,,,,,,,,,,1906.0,1460.0,1677.0,1117.0,1259.0,1394.0,1852.0
Powiat pyrzycki,,,,,,,,,,,,,893.0,721.0,547.0,501.0,679.0,689.0,730.0
Powiat szczecinecki,,,,,,,,,,,,,1500.0,1229.0,1204.0,963.0,1005.0,1086.0,1002.0
Powiat świdwiński,,,,,,,,,,,,,1359.0,1230.0,1159.0,887.0,1017.0,919.0,1089.0
Powiat wałecki,,,,,,,,,,,,,1473.0,1438.0,863.0,784.0,823.0,913.0,952.0
Powiat łobeski,,,,,,,,,,,,,1074.0,1045.0,894.0,672.0,897.0,727.0,725.0
Powiat m.Szczecin,,,,,,,,,,,,,14982.0,13892.0,11966.0,10753.0,10484.0,13663.0,22699.0
Powiat goleniowski,,,,,,,,,,,,,2527.0,1763.0,1522.0,1465.0,1623.0,1950.0,1871.0
Powiat gryficki,,,,,,,,,,,,,1872.0,1470.0,1363.0,1389.0,1331.0,1622.0,1603.0
Powiat gryfiński,,,,,,,,,,,,,2049.0,1368.0,1436.0,1272.0,1386.0,1367.0,1659.0
Powiat kamieński,,,,,,,,,,,,,1420.0,1180.0,1163.0,1058.0,841.0,918.0,1034.0
Powiat policki,,,,,,,,,,,,,2937.0,1364.0,1337.0,1149.0,988.0,1452.0,1133.0
Powiat stargardzki,,,,,,,,,,,,,3271.0,2007.0,2758.0,3238.0,1691.0,1873.0,1974.0
Powiat m.Świnoujście,,,,,,,,,,,,,1121.0,1017.0,1042.0,981.0,867.0,1003.0,1028.0
DOLNOŚLĄSKIE,,120165.0,127893.0,129965.0,123501.0,119466.0,112777.0,105351.0,109336.0,114342.0,113332.0,115116.0,111047.0,83566.0,79395.0,74705.0,72858.0,74726.0,77609.0
Powiat bolesławiecki,,,,,,,,,,,,,2699.0,2396.0,2326.0,2498.0,2645.0,2808.0,2636.0
Powiat jaworski,,,,,,,,,,,,,1005.0,805.0,918.0,898.0,938.0,1062.0,1007.0
Powiat jeleniogórski,,,,,,,,,,,,,2158.0,1362.0,1508.0,1502.0,1404.0,1494.0,1658.0
Powiat kamiennogórski,,,,,,,,,,,,,1093.0,898.0,693.0,682.0,859.0,683.0,947.0
Powiat lubański,,,,,,,,,,,,,1514.0,1336.0,1176.0,1220.0,1251.0,1331.0,1100.0
Powiat lwówecki,,,,,,,,,,,,,1058.0,908.0,923.0,920.0,959.0,1022.0,1248.0
Powiat zgorzelecki,,,,,,,,,,,,,3552.0,2370.0,2572.0,2367.0,2845.0,2464.0,3310.0
Powiat złotoryjski,,,,,,,,,,,,,1157.0,928.0,978.0,955.0,1925.0,1173.0,1157.0
Powiat m.Jelenia Góra,,,,,,,,,,,,,2964.0,2469.0,3050.0,2836.0,2708.0,3928.0,3630.0
Powiat głogowski,,,,,,,,,,,,,5467.0,2967.0,2026.0,2067.0,2085.0,2261.0,2334.0
Powiat górowski,,,,,,,,,,,,,998.0,706.0,762.0,683.0,688.0,810.0,886.0
Powiat legnicki,,,,,,,,,,,,,1724.0,1490.0,2356.0,2092.0,1160.0,1697.0,1290.0
Powiat lubiński,,,,,,,,,,,,,3665.0,2993.0,2879.0,3219.0,2988.0,2812.0,3018.0
Powiat polkowicki,,,,,,,,,,,,,1822.0,1577.0,1532.0,1539.0,1484.0,1503.0,1516.0
Powiat m.Legnica,,,,,,,,,,,,,7110.0,4619.0,4657.0,4357.0,5180.0,4698.0,5048.0
Powiat dzierżoniowski,,,,,,,,,,,,,2646.0,2150.0,1617.0,1610.0,1546.0,1527.0,1486.0
Powiat kłodzki,,,,,,,,,,,,,4078.0,3284.0,3242.0,2864.0,2925.0,2994.0,3207.0
Powiat świdnicki,,,,,,,,,,,,,6087.0,4408.0,3278.0,3193.0,3111.0,4318.0,3509.0
Powiat wałbrzyski,,,,,,,,,,,,,3038.0,1544.0,1266.0,1079.0,1103.0,1411.0,1090.0
Powiat ząbkowicki,,,,,,,,,,,,,1807.0,1356.0,1246.0,1176.0,1058.0,1194.0,1372.0
Powiat m.Wałbrzych od 2013,,,,,,,,,,,,,6322.0,5456.0,4102.0,3715.0,3227.0,4014.0,5578.0
Powiat milicki,,,,,,,,,,,,,803.0,622.0,566.0,555.0,609.0,504.0,511.0
Powiat oleśnicki,,,,,,,,,,,,,2893.0,1835.0,2471.0,1854.0,1641.0,1684.0,1582.0
Powiat oławski,,,,,,,,,,,,,1740.0,1428.0,1734.0,1640.0,1607.0,1417.0,1760.0
Powiat strzeliński,,,,,,,,,,,,,1466.0,1010.0,912.0,787.0,612.0,705.0,759.0
Powiat średzki,,,,,,,,,,,,,1036.0,927.0,887.0,942.0,928.0,1012.0,1265.0
Powiat trzebnicki,,,,,,,,,,,,,2037.0,1535.0,1327.0,1342.0,1284.0,1276.0,1527.0
Powiat wołowski,,,,,,,,,,,,,1055.0,750.0,668.0,652.0,571.0,720.0,780.0
Powiat wrocławski,,,,,,,,,,,,,3330.0,2707.0,2516.0,2468.0,2639.0,2625.0,2551.0
Powiat m.Wrocław,,,,,,,,,,,,,34723.0,26730.0,25207.0,22993.0,20878.0,19579.0,19847.0
OPOLSKIE,,39083.0,37989.0,37256.0,34637.0,32628.0,31788.0,29014.0,28058.0,30575.0,31355.0,29909.0,28647.0,22980.0,19927.0,19904.0,19771.0,17326.0,17938.0
Powiat brzeski,,,,,,,,,,,,,2991.0,2502.0,1845.0,1971.0,1972.0,1917.0,1556.0
Powiat głubczycki,,,,,,,,,,,,,1237.0,1049.0,901.0,786.0,1037.0,558.0,720.0
Powiat namysłowski,,,,,,,,,,,,,1117.0,806.0,794.0,1069.0,675.0,688.0,1491.0
Powiat nyski,,,,,,,,,,,,,3895.0,3101.0,2760.0,2939.0,2643.0,2750.0,2734.0
Powiat prudnicki,,,,,,,,,,,,,1752.0,1407.0,951.0,1081.0,948.0,1125.0,984.0
Powiat kędzierzyńsko-kozielski,,,,,,,,,,,,,2370.0,2016.0,1524.0,1854.0,1315.0,1316.0,1237.0
Powiat kluczborski,,,,,,,,,,,,,1624.0,1366.0,1111.0,1130.0,2845.0,1031.0,928.0
Powiat krapkowicki,,,,,,,,,,,,,2553.0,1168.0,1110.0,966.0,955.0,1002.0,852.0
Powiat oleski,,,,,,,,,,,,,1626.0,1529.0,1216.0,1380.0,1408.0,955.0,1447.0
Powiat opolski,,,,,,,,,,,,,2361.0,1898.0,1838.0,1666.0,1377.0,1622.0,1317.0
Powiat strzelecki,,,,,,,,,,,,,1634.0,1455.0,1194.0,1279.0,1213.0,1185.0,1074.0
Powiat m.Opole,,,,,,,,,,,,,5487.0,4683.0,4683.0,3783.0,3383.0,3177.0,3598.0
KUJAWSKO-POMORSKIE,,78754.0,82979.0,81017.0,73551.0,67604.0,61183.0,58966.0,58572.0,56164.0,59130.0,60745.0,53457.0,42060.0,38832.0,37144.0,37478.0,43601.0,38266.0
Powiat bydgoski,,,,,,,,,,,,,2043.0,1805.0,1626.0,1697.0,1559.0,1515.0,1669.0
Powiat toruński,,,,,,,,,,,,,2839.0,1891.0,1400.0,1356.0,1975.0,1754.0,2266.0
Powiat m.Bydgoszcz,,,,,,,,,,,,,10841.0,7774.0,6968.0,6692.0,6454.0,7237.0,8573.0
Powiat m.Toruń,,,,,,,,,,,,,7044.0,5819.0,7101.0,6581.0,5854.0,5137.0,4946.0
Powiat brodnicki,,,,,,,,,,,,,1270.0,1075.0,847.0,926.0,796.0,899.0,1173.0
Powiat chełmiński,,,,,,,,,,,,,888.0,721.0,707.0,675.0,711.0,751.0,729.0
Powiat golubsko-dobrzyński,,,,,,,,,,,,,1203.0,923.0,873.0,699.0,746.0,612.0,664.0
Powiat grudziądzki,,,,,,,,,,,,,486.0,456.0,365.0,361.0,337.0,312.0,357.0
Powiat rypiński,,,,,,,,,,,,,879.0,632.0,560.0,803.0,672.0,500.0,735.0
Powiat wąbrzeski,,,,,,,,,,,,,799.0,517.0,458.0,399.0,372.0,357.0,456.0
Powiat m.Grudziądz,,,,,,,,,,,,,2538.0,2120.0,1825.0,1741.0,2431.0,1808.0,1717.0
Powiat aleksandrowski,,,,,,,,,,,,,1408.0,1380.0,1042.0,1027.0,1022.0,1219.0,1424.0
Powiat lipnowski,,,,,,,,,,,,,1452.0,1223.0,954.0,1082.0,943.0,1207.0,1002.0
Powiat radziejowski,,,,,,,,,,,,,709.0,520.0,480.0,424.0,475.0,389.0,419.0
Powiat włocławski,,,,,,,,,,,,,1395.0,1437.0,1201.0,1103.0,1050.0,1043.0,1031.0
Powiat m.Włocławek,,,,,,,,,,,,,4365.0,3634.0,3485.0,3403.0,3615.0,2677.0,2875.0
Powiat inowrocławski,,,,,,,,,,,,,3867.0,3322.0,3047.0,2611.0,3111.0,9775.0,2303.0
Powiat mogileński,,,,,,,,,,,,,2090.0,658.0,543.0,549.0,646.0,636.0,618.0
