,SLD,Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy,UW,Samoobrona,PiS,PSL,PO,Komitet Wyborczy Alternatywa Ruch Społeczny,Komitet Wyborczy Polskiej Wspólnoty Narodowej,LPR,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Komitet Wyborczy Polskiej Unii Gospodarczej,Komitet Wyborczy Polskiej Partii Socjalistycznej,"Komitet Wyborczy Wyborców ""Niemiecka Mniejszość Górnego Śląska"""
Siedlce,12962,1814,674,2522,3609,2187,2966,96,,2416.0,,,31.0,
Powiat makowski,5144,416,164,1900,609,5481,1333,53,,1296.0,,,19.0,
Powiat warszawski,263243,27566,45670,22039,153436,11412,134464,1340,310.0,47655.0,,,1147.0,
Powiat gostyniński,5670,509,190,2490,813,3559,846,86,,919.0,,,27.0,
Powiat żuromiński,4484,724,66,1903,631,3486,570,51,,685.0,,,28.0,
Powiat przasnyski,6250,913,167,2270,1043,3359,1206,74,,1477.0,,,37.0,
Powiat mławski,9613,2034,261,2753,1052,4823,1292,84,,1381.0,,,39.0,
Powiat ciechanowski,13857,1505,538,3784,1970,4201,2411,79,,1496.0,,,43.0,
Płock,23825,2349,2022,3744,5587,2115,4466,101,,2055.0,,,135.0,
Powiat żyrardowski,9873,870,437,2110,2489,1992,2501,96,,1626.0,,,46.0,
Powiat sochaczewski,8248,1617,546,3101,2333,4879,2054,112,,1435.0,,,61.0,
Powiat płocki,10382,1233,316,5165,1503,7845,1240,179,,1365.0,,,69.0,
Powiat sierpecki,6301,649,207,2532,682,3589,1064,70,,833.0,,,31.0,
Powiat płoński,8629,1291,385,4048,1339,4464,2365,120,,1464.0,,,37.0,
Powiat otwocki,10227,1829,1128,3346,7569,5060,5500,177,49.0,5047.0,,,,
Powiat wołomiński,14330,4358,1296,5619,12041,5285,8564,214,61.0,7482.0,,,,
Powiat pruszkowski,15475,2126,2222,3327,11382,2587,9629,267,52.0,3908.0,,,,
Powiat legionowski,11691,1296,844,2472,4732,1859,4376,79,19.0,2535.0,,,,
Powiat grodziski,8672,811,829,1763,3278,1543,5314,66,23.0,1700.0,,,,
Powiat warszawski zachodni,8529,1235,1031,2556,5259,2358,5151,76,24.0,2528.0,,,,
Powiat piaseczyński,12213,1801,1566,2782,6431,3512,6680,90,39.0,2943.0,,,,
Powiat nowodworski,9078,920,319,2352,2462,4047,1870,49,15.0,1359.0,,,,
Radom,34269,5724,2007,6073,10079,5482,10961,296,,6488.0,,81.0,,
