jednostka,Blue,Red,Gray
giżycki,7810.0,12342.0,878.0
gliwicki,18085.0,24430.0,1400.0
gnieźnieński,20192.0,37777.0,2554.0
goleniowski,9326.0,18932.0,1465.0
golubsko-dobrzyński,6608.0,6393.0,1234.0
gorlicki,22376.0,15723.0,1499.0
gorzowski,7622.0,14117.0,1320.0
gostyniński,11055.0,5366.0,617.0
gostyński,10640.0,14449.0,1413.0
gołdapski,3499.0,4718.0,329.0
grajewski,9667.0,4898.0,948.0
grodziski,22932.0,30213.0,2005.0
grudziądzki,5553.0,4868.0,940.0
gryficki,7233.0,14039.0,1029.0
gryfiński,10301.0,17220.0,1691.0
grójecki,25824.0,11080.0,2367.0
górowski,5007.0,5902.0,754.0
głogowski,13851.0,23056.0,1512.0
głubczycki,6359.0,9264.0,1039.0
hajnowski,4785.0,12490.0,1017.0
hrubieszowski,13876.0,6652.0,1709.0
inowrocławski,20992.0,39041.0,2753.0
iławski,12932.0,17633.0,1666.0
janowski,15523.0,3460.0,1099.0
jarociński,11556.0,14141.0,1117.0
jarosławski,30857.0,15052.0,2028.0
jasielski,26851.0,14288.0,2283.0
jaworski,8450.0,10074.0,863.0
jeleniogórski,7341.0,17832.0,830.0
jędrzejowski,19075.0,9373.0,1667.0
kaliski,14736.0,10343.0,1591.0
kamiennogórski,5786.0,11209.0,616.0
kamieński,5114.0,12086.0,826.0
kartuski,20148.0,22369.0,2397.0
kazimierski,7262.0,2930.0,530.0
kielecki,41689.0,23293.0,2698.0
kluczborski,8802.0,12395.0,2105.0
kolbuszowski,16352.0,4713.0,1068.0
kolneński,8568.0,2580.0,1333.0
kolski,18052.0,11394.0,1899.0
konecki,16718.0,13221.0,1454.0
koniński,21640.0,15638.0,2963.0
koszaliński,7436.0,12939.0,1768.0
kozienicki,13734.0,9094.0,1417.0
kołobrzeski,10052.0,21667.0,1493.0
kościański,10608.0,18145.0,1374.0
kościerski,10845.0,14578.0,1322.0
krakowski,51755.0,43960.0,5062.0
krapkowicki,3240.0,11773.0,5141.0
krasnostawski,15203.0,7641.0,1726.0
kraśnicki,23655.0,12336.0,2420.0
krotoszyński,12532.0,15606.0,1435.0
krośnieński,29464.0,28016.0,2803.0
kutnowski,19319.0,16960.0,2477.0
kwidzyński,8384.0,18989.0,1213.0
kędzierzyńsko-kozielski,8401.0,23223.0,4940.0
kępiński,9639.0,10302.0,1052.0
kętrzyński,9707.0,12404.0,815.0
kłobucki,16136.0,13616.0,1385.0
kłodzki,25047.0,37366.0,2532.0
legionowski,17614.0,29133.0,1212.0
legnicki,8783.0,10071.0,904.0
leski,4844.0,4601.0,426.0
leszczyński,7517.0,9321.0,1017.0
leżajski,16988.0,8432.0,980.0
lidzbarski,5053.0,8975.0,845.0
limanowski,32137.0,12446.0,1691.0
lipnowski,9561.0,8151.0,1107.0
lipski,6643.0,3650.0,949.0
lubaczowski,14263.0,5195.0,986.0
lubartowski,20512.0,10394.0,2516.0
lubański,7745.0,13427.0,813.0
lubelski,34526.0,13592.0,3513.0
lubiński,19421.0,26158.0,1266.0
lubliniecki,12304.0,15259.0,1673.0
lwówecki,6644.0,9734.0,700.0
lęborski,7676.0,16284.0,1080.0
m,45478.0,97215.0,4385.0
makowski,11075.0,4811.0,855.0
malborski,8593.0,15034.0,1215.0
miechowski ,10172.0,5671.0,1103.0
mielecki,31870.0,19119.0,1905.0
mikołowski,16909.0,23883.0,1235.0
milicki,5887.0,7197.0,825.0
międzychodzki,4294.0,8663.0,502.0
międzyrzecki,7013.0,14234.0,1027.0
miński,30472.0,27839.0,2262.0
mogileński,7008.0,8255.0,997.0
moniecki,8333.0,3983.0,1053.0
mrągowski,7038.0,10811.0,686.0
myszkowski,11265.0,14551.0,1272.0
myślenicki,28482.0,15705.0,1928.0
myśliborski,7877.0,14797.0,1146.0
mławski,14070.0,9848.0,1024.0
nakielski,10302.0,20017.0,1467.0
namysłowski,7232.0,8051.0,853.0
nidzicki,4646.0,5667.0,655.0
niżański,14398.0,6771.0,1133.0
nowodworski,18706.0,22232.0,2197.0
nowomiejski,7986.0,5394.0,1204.0
nowosolski,11092.0,19768.0,1848.0
nowosądecki,55478.0,21814.0,3017.0
nowotarski,39276.0,23387.0,1868.0
nowotomyski,10521.0,16405.0,1121.0
nyski,21020.0,28273.0,3902.0
obornicki,8170.0,13518.0,753.0
olecki,4897.0,5259.0,581.0
oleski,6322.0,10898.0,3988.0
oleśnicki,15411.0,22694.0,1740.0
olkuski,20888.0,24484.0,2463.0
olsztyński,13464.0,24860.0,1941.0
opatowski,13094.0,3716.0,1000.0
opoczyński,20333.0,8969.0,1615.0
opolski,21928.0,28656.0,12229.0
ostrowiecki,18103.0,21235.0,1705.0
ostrowski,45214.0,42770.0,4102.0
ostrołęcki,19070.0,5955.0,1848.0
ostrzeszowski,10168.0,7641.0,1090.0
ostródzki,11982.0,23122.0,1722.0
otwocki,28979.0,25903.0,1758.0
oławski,12010.0,17060.0,1091.0
oświęcimski,32407.0,35760.0,1999.0
pabianicki,21921.0,29612.0,2736.0
pajęczański,10309.0,6112.0,1288.0
parczewski,7951.0,4577.0,869.0
piaseczyński,28785.0,40569.0,1823.0
pilski,18629.0,37320.0,2031.0
piotrkowski,21482.0,8777.0,1961.0
piski,10166.0,8563.0,789.0
pińczowski,8046.0,5574.0,885.0
pleszewski,10271.0,10355.0,1142.0
poddębicki,8771.0,4689.0,1153.0
policki,7276.0,19746.0,738.0
polkowicki,10356.0,11614.0,1188.0
poznański,41511.0,95015.0,3842.0
proszowicki,9781.0,3505.0,728.0
prudnicki,6514.0,10024.0,3249.0
pruszkowski,29760.0,45007.0,2010.0
przasnyski,12004.0,5379.0,849.0
przemyski,13628.0,10407.0,1121.0
przeworski,19621.0,7709.0,1147.0
przysuski,11835.0,3808.0,1194.0
pszczyński,23214.0,21416.0,1487.0
pucki,10740.0,20117.0,1130.0
puławski,26284.0,20260.0,3032.0
pułtuski,13510.0,4771.0,691.0
pyrzycki,5193.0,7489.0,948.0
płocki,22638.0,9576.0,1419.0
płoński,17399.0,9801.0,1386.0
raciborski,10772.0,26406.0,1289.0
radomski,33641.0,15195.0,2585.0
radomszczański,22040.0,17616.0,1575.0
radziejowski,6287.0,5690.0,1105.0
radzyński,16823.0,5456.0,1407.0
rawicki,7667.0,13130.0,1149.0
rawski,12156.0,5312.0,938.0
ropczycko-sędziszowski,21651.0,5007.0,1037.0
rybnicki,13785.0,14655.0,1076.0
rycki,14434.0,7658.0,1780.0
rypiński,6853.0,6010.0,626.0
rzeszowski,46512.0,19870.0,2791.0
sandomierski,17906.0,9681.0,1343.0
sanocki,16121.0,16378.0,1605.0
sejneński,3241.0,2770.0,459.0
siedlecki,20991.0,5843.0,1944.0
siemiatycki,8826.0,7137.0,812.0
sieradzki,24812.0,18651.0,3140.0
sierpecki,10454.0,5717.0,1053.0
skarżyski,14751.0,17050.0,1330.0
skierniewicki,10208.0,3035.0,874.0
sochaczewski,18125.0,12528.0,1099.0
sokołowski,16801.0,5754.0,1318.0
sokólski,13498.0,8967.0,1293.0
stalowowolski,21360.0,18441.0,1572.0
starachowicki,17962.0,15754.0,1859.0
stargardzki,14725.0,30079.0,1977.0
starogardzki,18762.0,24321.0,2091.0
staszowski,15450.0,7895.0,1258.0
strzelecki,5041.0,13276.0,6359.0
strzelecko-drezdenecki,5875.0,10455.0,929.0
strzeliński,6899.0,9086.0,781.0
strzyżowski,15320.0,5663.0,1020.0
sulęciński,3802.0,8106.0,568.0
suwalski,6894.0,3304.0,815.0
szamotulski,10826.0,22601.0,1419.0
szczecinecki,8432.0,18504.0,1649.0
szczycieński,11055.0,11938.0,1130.0
sztumski,4843.0,8396.0,735.0
szydłowiecki,8285.0,4336.0,588.0
sępoleński,5756.0,7266.0,972.0
sławieński,6329.0,11489.0,2015.0
słubicki,5460.0,11224.0,745.0
słupecki,11440.0,8780.0,1141.0
słupski,9983.0,20030.0,1722.0
tarnobrzeski,10349.0,8844.0,706.0
tarnogórski,22155.0,33823.0,1600.0
tarnowski,48332.0,21162.0,2572.0
tatrzański,15007.0,11397.0,554.0
tczewski,15218.0,25749.0,1853.0
tomaszowski,45625.0,30552.0,4346.0
toruński,13967.0,15001.0,1247.0
trzebnicki,12192.0,15903.0,1178.0
tucholski,6795.0,9628.0,864.0
turecki,14860.0,13979.0,1647.0
wadowicki,32447.0,28730.0,2262.0
warszawski zachodni,19911.0,26363.0,1611.0
wałbrzyski,20737.0,50406.0,2482.0
wałecki,5600.0,13529.0,1010.0
wejherowski,27756.0,48793.0,2869.0
wielicki,20938.0,21448.0,1352.0
wieluński,16355.0,10549.0,2721.0
wieruszowski,8304.0,5801.0,918.0
wodzisławski,27843.0,34655.0,2183.0
wolsztyński,7469.0,13099.0,737.0
wołomiński,47282.0,41543.0,3185.0
wołowski,6398.0,11966.0,853.0
wrocławski,16994.0,24647.0,1712.0
wrzesiński,12093.0,16333.0,1849.0
wschowski,5467.0,7499.0,869.0
wysokomazowiecki,17291.0,5447.0,1246.0
wyszkowski,18207.0,8184.0,1017.0
wąbrzeski,4130.0,6235.0,799.0
wągrowiecki,8668.0,15624.0,1252.0
węgorzewski,2652.0,4910.0,511.0
węgrowski,16431.0,7444.0,1927.0
włocławski,11599.0,11923.0,1726.0
włodawski,7087.0,5941.0,1402.0
włoszczowski,11091.0,4881.0,714.0
zambrowski,10295.0,5501.0,931.0
zamojski,27153.0,8086.0,2533.0
zawierciański,18209.0,30446.0,2024.0
zduńskowolski,12189.0,13701.0,1602.0
zgierski,27187.0,38306.0,3468.0
zgorzelecki,11992.0,24219.0,1175.0
zielonogórski,9961.0,22566.0,1720.0
zwoleński,8611.0,2783.0,1193.0
ząbkowicki,10060.0,14103.0,1261.0
złotoryjski,6158.0,9748.0,793.0
złotowski,8978.0,15051.0,1260.0
Łomża,11438.0,12400.0,1052.0
Łódź,112676.0,250170.0,19268.0
łaski,10035.0,7797.0,1215.0
łańcucki,21925.0,8768.0,1411.0
łobeski,3947.0,7523.0,834.0
łomżyński,12206.0,3138.0,1275.0
łosicki,8234.0,3003.0,714.0
łowicki,19082.0,11090.0,1745.0
łukowski,24279.0,12850.0,2614.0
łódzki wschodni,13591.0,13519.0,1432.0
łęczycki,9830.0,6856.0,1686.0
łęczyński,11428.0,7234.0,1308.0
Świnoujście,5110.0,13400.0,470.0
Świętochłowice,6627.0,13550.0,777.0
średzki,14417.0,22680.0,2148.0
śremski,8504.0,14195.0,1163.0
świdnicki,38105.0,52194.0,4372.0
świdwiński,5684.0,10014.0,1259.0
świebodziński,6844.0,13134.0,926.0
świecki,12710.0,19267.0,2038.0
Żory,10826.0,14816.0,875.0
żagański,9112.0,18505.0,1394.0
żarski,11003.0,23374.0,1665.0
żniński,10307.0,13896.0,1418.0
żuromiński,8477.0,4055.0,481.0
żyrardowski,13756.0,15386.0,1040.0
żywiecki,32762.0,27452.0,2471.0
