województwo,Blue,Red,Gray
POWIAT RZESZOWSKI,32922.0,6098,6794.0
POWIAT SANDOMIERSKI,13008.0,1329,2161.0
POWIAT SANOCKI,11768.0,2584,3095.0
POWIAT SEJNEŃSKI,2117.0,254,176.0
POWIAT SIEDLECKI,19070.0,1101,1719.0
POWIAT SIEMIATYCKI,7249.0,1035,1070.0
POWIAT SIERADZKI,21865.0,2467,2574.0
POWIAT SIERPECKI,7636.0,1064,957.0
POWIAT SKARŻYSKI,7970.0,3410,2819.0
POWIAT SKIERNIEWICKI,8562.0,477,521.0
POWIAT SOCHACZEWSKI,11748.0,2054,2336.0
POWIAT SOKOŁOWSKI,15657.0,1011,1304.0
POWIAT SOKÓLSKI,12594.0,1676,1756.0
POWIAT STALOWOWOLSKI,15426.0,3260,4444.0
POWIAT STARACHOWICKI,13127.0,2187,3228.0
POWIAT STARGARDZKI,11104.0,4522,3357.0
POWIAT STAROGARDZKI,13808.0,6845,2934.0
POWIAT STASZOWSKI,10463.0,1066,1721.0
POWIAT STRZELECKI,3107.0,1712,8450.0
POWIAT STRZELECKO-DREZDENECKI,5174.0,921,1354.0
POWIAT STRZELIŃSKI,5957.0,1577,967.0
POWIAT STRZYŻOWSKI,11158.0,2360,1891.0
POWIAT SULĘCIŃSKI,6323.0,637,876.0
POWIAT SUSKI,12560.0,3206,4650.0
POWIAT SUWALSKI,6139.0,607,426.0
POWIAT SZAMOTULSKI,8933.0,3060,1698.0
POWIAT SZCZECINECKI,7706.0,2943,3609.0
POWIAT SZCZYCIEŃSKI,6262.0,1981,1549.0
POWIAT SZYDŁOWIECKI,5202.0,2428,984.0
POWIAT SĘPOLEŃSKI,5571.0,1166,712.0
POWIAT SŁAWIEŃSKI,9309.0,1146,843.0
POWIAT SŁUBICKI,4029.0,1140,1251.0
POWIAT SŁUPECKI,8123.0,1567,917.0
POWIAT SŁUPSKI,8099.0,2427,1573.0
POWIAT TARNOBRZESKI,7707.0,1081,1417.0
POWIAT TARNOGÓRSKI,11283.0,6710,11409.0
POWIAT TARNOWSKI,32436.0,7311,5179.0
POWIAT TATRZAŃSKI,9196.0,4074,5552.0
POWIAT TCZEWSKI,10653.0,7389,3667.0
POWIAT TOMASZOWSKI,16344.0,3789,4073.0
POWIAT TOMASZOWSKI,19785.0,1643,1314.0
POWIAT TORUŃSKI,8893.0,1620,1227.0
POWIAT TRZEBNICKI,8404.0,2998,1952.0
POWIAT TUCHOLSKI,5878.0,1668,974.0
POWIAT TURECKI,9453.0,2591,2034.0
POWIAT TYSKI,4772.0,3055,4719.0
POWIAT WADOWICKI,24418.0,7173,4982.0
POWIAT WARSZAWSKI,234542.0,134464,76033.0
POWIAT WARSZAWSKI ZACHODNI,12701.0,5151,2366.0
POWIAT WAŁBRZYSKI,5357.0,2078,1146.0
POWIAT WAŁECKI,4934.0,1517,1317.0
POWIAT WEJHEROWSKI,17848.0,18278,4026.0
POWIAT WIELICKI,12829.0,4839,5973.0
POWIAT WIELUŃSKI,14105.0,2549,1411.0
POWIAT WIERUSZOWSKI,8013.0,816,927.0
POWIAT WODZISŁAWSKI,13905.0,9183,7767.0
POWIAT WOLSZTYŃSKI,6082.0,1287,1611.0
POWIAT WOŁOMIŃSKI,30427.0,8564,5929.0
POWIAT WOŁOWSKI,4822.0,2725,1090.0
POWIAT WROCŁAWSKI,12749.0,3775,2283.0
POWIAT WRZESIŃSKI,8717.0,2787,1714.0
POWIAT WYSOKOMAZOWIECKI,12203.0,2079,3999.0
POWIAT WYSZKOWSKI,11763.0,1640,1517.0
POWIAT WĄBRZESKI,4297.0,1001,615.0
POWIAT WĄGROWIECKI,8116.0,2837,1118.0
POWIAT WĘGROWSKI,14096.0,1131,1031.0
POWIAT WŁOCŁAWSKI,11173.0,1163,1531.0
POWIAT WŁODAWSKI,6289.0,839,832.0
POWIAT WŁOSZCZOWSKI,6607.0,830,1403.0
POWIAT ZAMBROWSKI,8412.0,827,600.0
POWIAT ZAMOJSKI,25817.0,1248,1651.0
POWIAT ZAWIERCIAŃSKI,14055.0,3538,3406.0
POWIAT ZDUŃSKOWOLSKI,8633.0,2014,2031.0
POWIAT ZGIERSKI,18551.0,5395,4197.0
POWIAT ZGORZELECKI,7683.0,3641,2170.0
